sid,name,state,pre_avg,post_avg,delta,im_delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta
4213590,Lewisburg Area SD,PA,0.8956344551459637,0.7094100202464719,-0.1862244348994918,0.21217883789398495,154.33333333333334,0.0,,,
4216110,Mt Lebanon SD,PA,0.9832862903217349,0.7998137612719753,-0.18347252904975953,0.16006868877495872,441.0,0.05872291904218928,1.5232246017925164,1.033719179073998,-0.4895054227185185
3408520,Leonia Public School District,NJ,0.7708836005250252,0.5880847552332426,-0.1827988452917827,0.052527869219243906,162.66666666666666,0.4071207430340557,1.2247338006770383,0.9676897937490326,-0.25704400692800566
3904539,Granville Exempted Village,OH,1.0213925763998983,0.8411065677672532,-0.1802860086326451,0.09227226943347311,192.66666666666666,0.0,,,
2710170,Delano Public School District,MN,0.9825187242571589,0.8025821882996296,-0.17993653595752934,-0.2470639727669398,197.33333333333334,0.0,,,
2505500,Groton-Dunstable,MA,0.7602206101791786,0.5803489001903794,-0.1798717099887992,0.013622147119729644,190.33333333333334,0.0,,1.1114010957278837,
4217220,North Hills SD,PA,0.7089813589753294,0.5293278262744472,-0.17965353270088225,0.05307478837613733,320.3333333333333,0.0,,,
1300600,Buford City,GA,0.8490260246632092,0.6703225040968296,-0.17870352056637961,0.010719771067262074,376.6666666666667,0.014790996784565916,,1.48773022522903,
3170110,Elkhorn Public Schools,NE,0.8882725777345021,0.7136173459145395,-0.17465523181996256,-0.008444749611714486,712.3333333333334,0.04310344827586207,1.3143748595268154,1.1799778062274155,-0.13439705329939988
2741460,Waconia Public School District,MN,0.697933837888883,0.5234656915351972,-0.1744681463536858,-0.0721375133533369,307.5,0.0,,,
2504620,Easton,MA,0.8025461083383565,0.6283248045723188,-0.17422130376603773,0.07196228056682963,294.6666666666667,0.0,,,
4704530,Williamson County,TN,0.7870754613183557,0.6140323974588676,-0.1730430638594881,0.0761736770160154,2972.8333333333335,0.08147718804338826,1.3381157816416067,1.0480035503782166,-0.29011223126339014
1703900,Aptakisic-Tripp CCSD 102,IL,1.059338283436704,0.8879532106451861,-0.17138507279151793,0.10197246752042521,246.66666666666666,0.4184184184184184,1.4990776854905852,1.2799581738097094,-0.21911951168087573
4203510,Bethel Park SD,PA,0.7195849527801949,0.5482621338894791,-0.17132281889071577,-0.0076369747504899665,312.8,0.0,,0.7871067926506518,
620370,Laguna Beach Unified,CA,0.8182480378262346,0.6474514475966998,-0.17079659022953475,0.014971930805292577,249.33333333333334,0.02053388090349076,1.2140598211852947,,
901800,Guilford School District,CT,0.8485326943304843,0.6817488386297419,-0.1667838557007424,0.06225224177577571,282.6666666666667,0.0,,,
2507980,Milton,MA,0.6967992160452123,0.5303669668544415,-0.16643224919077082,0.19386667356239995,314.3333333333333,0.03467297084318361,0.915423559150027,1.1498218627514465,0.23439830360141944
2512660,Westford,MA,1.1776648106059653,1.0123232495838492,-0.16534156102211606,0.018027767192444477,406.1666666666667,0.2832914572864322,1.8912317272860537,1.6414064405735942,-0.24982528671245952
3904611,Lakota Local,OH,0.7516872691895679,0.5874626689167536,-0.16422460027281427,0.11600646270052617,1302.3333333333333,0.0687789799072643,1.0759899785315856,0.8197084076301794,-0.25628157090140624
3401530,Berkeley Heights School District,NJ,0.965842847449165,0.8021360974442344,-0.16370675000493062,-0.15017971285021714,193.83333333333334,0.19174757281553398,1.843715418963968,1.4694552225869073,-0.37426019637706065
3305520,Oyster River Coop School District,NH,0.9578128446580143,0.7944953040853724,-0.16331754057264192,0.02820696282458901,164.6,0.0,,,
3405310,Fort Lee School District,NJ,0.9876996183536463,0.8268847585214696,-0.1608148598321767,0.1463800839966619,294.3333333333333,0.444064901793339,1.4864037519004676,1.379912384898494,-0.10649136700197359
4219470,Colonial SD,PA,0.6960479692224889,0.5359072094747734,-0.16014075974771547,0.008554030840276283,357.5,0.052269601100412656,1.2947472511687041,1.0786962880828463,-0.2160509630858578
1722800,Libertyville SD 70,IL,0.7636669082247761,0.6057959681014532,-0.15787094012332292,-0.10609592036058457,280.8333333333333,0.0,,,
4219920,Radnor Township SD,PA,1.1485933797126942,0.993057367821774,-0.15553601189092015,0.08853306498259805,271.4,0.16964285714285715,1.7760435903620913,1.3876165845249901,-0.3884270058371011
2508610,Newton,MA,0.9930371202488241,0.837662947184922,-0.1553741730639021,0.0292999983369836,933.8333333333334,0.1834319526627219,1.5830053573198974,1.5457414139944072,-0.03726394332549021
2630660,Saline Area Schools,MI,0.7111630746697282,0.5576066251891969,-0.15355644948053127,0.011728538182100512,397.5,0.025949367088607594,1.4211976494910383,,
1704140,Arlington Heights SD 25,IL,0.7155379806378965,0.5643192326445912,-0.15121874799330537,0.013914264665934706,593.0,0.0944055944055944,1.1442829487834483,1.161055660830488,0.016772712047039784
4846530,Wylie ISD,TX,0.6968953078119887,0.5484842454683463,-0.14841106234364243,0.009521454162813803,1274.3333333333333,0.10065814943863724,1.1903707339578764,1.0029653641787568,-0.1874053697791196
3413410,Princeton Public School District,NJ,0.9518808158129873,0.8044569384590131,-0.14742387735397422,0.33450342183435944,223.75,0.22453703703703703,1.5441072446018125,1.4832873956674657,-0.060819848934346776
3410710,Moorestown Township Public School District,NJ,1.024325993196342,0.8772856870176223,-0.14704030617871966,0.019396732082730184,299.3333333333333,0.10956663941128372,1.8416270729970676,1.4988368784610613,-0.34279019453600634
4222560,Spring-Ford Area SD,PA,0.797767533998845,0.6508372617650255,-0.1469302722338195,-0.0001313448506630177,642.3333333333334,0.07650485436893203,1.5619171858923793,1.2923524539408167,-0.2695647319515626
3417280,Wayne Township Public School District,NJ,0.7357434788182285,0.589055952287882,-0.14668752653034656,0.09107502161744785,634.3333333333334,0.1091703056768559,1.3568472048584617,1.2456516491491956,-0.11119555570926609
4400030,Barrington,RI,0.9080193529280258,0.7618010887322252,-0.14621826419580064,0.03605818446070119,262.1666666666667,0.019498607242339833,,1.315594056367099,
3406390,Haddonfield School District,NJ,0.8950401362136545,0.7504791809504645,-0.14456095526319002,0.2025413729042107,214.83333333333334,0.0,,,
1721600,La Grange SD 102,IL,0.8278332383585103,0.6840230744687809,-0.14381016388972945,0.2328305114152941,338.5,0.0,,,
2511970,Walpole,MA,0.7942888096350981,0.653170443333016,-0.14111836630208208,0.17233635952498683,304.1666666666667,0.04235880398671096,1.7663427061028782,1.5582730926065775,-0.2080696134963007
4214190,Lower Moreland Township SD,PA,0.9189830147396577,0.7786661941930031,-0.14031682054665462,0.1674737472556299,189.66666666666666,0.17317708333333334,1.3376778851790279,1.115810852233111,-0.22186703294591692
2632550,Spring Lake Public Schools,MI,0.791224952159573,0.6545055780237279,-0.13671937413584512,0.03318654229230267,191.16666666666666,0.0,,,
1810650,Hamilton Southeastern Schools,IN,0.7664678841494372,0.6313324215016602,-0.13513546264777698,0.05496562732268562,1719.3333333333333,0.06674438939084815,1.0804274475568276,0.9518278836136244,-0.12859956394320327
2513290,Wrentham,MA,0.7872310573277974,0.653239674244052,-0.13399138308374536,0.2642850431175865,150.0,0.0,,,
3905001,Green Local,OH,0.7994862755462454,0.6656183296212904,-0.133867945924955,0.13989043384280875,312.6666666666667,0.0,,,
903660,Regional School District 05,CT,0.8767096708762988,0.7428593042755708,-0.13385036660072802,-0.04457350639903246,347.6666666666667,0.15701219512195122,2.001377654759329,1.3027190059155764,-0.6986586488437527
1202013,Fsu Lab Schools,FL,0.688315339537079,0.5578351412229031,-0.1304801983141759,0.22317154809068301,167.33333333333334,0.0,,,
2742160,Wayzata Public School District,MN,0.9548565440297202,0.8244848380794293,-0.1303717059502909,-0.13683600135197105,920.3333333333334,0.2032967032967033,1.7259140774460136,1.4828708586375094,-0.2430432188085041
2506090,Hingham,MA,0.95047161570067,0.82044425764358,-0.13002735805708998,0.061852993357721764,348.5,0.0,,,
1801200,Carmel Clay Schools,IN,0.9307715789152309,0.8009905379120849,-0.12978104100314602,0.04241316240871973,1315.1666666666667,0.15172282505235105,1.8286929165306658,1.5785899304774225,-0.2501029860532433
630330,Piedmont City Unified,CA,1.1203511217062552,0.9915772806375387,-0.12877384106871648,0.13985250465987542,217.5,0.10839160839160839,1.314220103604398,1.281066153173098,-0.03315395043129987
4224790,Wallingford-Swarthmore SD,PA,0.7339866301853893,0.6056903101348244,-0.1282963200505649,0.263293551771722,278.5,0.08453237410071943,1.4320471645595416,1.3262727085502368,-0.1057744560093048
5509510,Middleton-Cross Plains Area School District,WI,0.7446617080689566,0.6173072864658193,-0.12735442160313726,0.04908731167656977,559.0,0.10654288240495137,1.512183905870953,1.4509010560602393,-0.061282849810713635
606480,Burlingame Elementary,CA,0.9187430188337626,0.7960115601833457,-0.1227314586504169,0.09872592071901254,357.3333333333333,0.24601524601524602,1.3370237224201993,1.3920645903465874,0.05504086792638807
1801020,Brownsburg Community School Corporation,IN,0.9947249310850536,0.8721852800080544,-0.12253965107699916,0.005255746084059432,676.8333333333334,0.023538065465244576,1.140945624697003,1.2425154587536098,0.10156983405660691
612750,Encinitas Union Elementary,CA,0.7501247355670552,0.6278213979609013,-0.12230333760615386,0.031328368165246534,764.6666666666666,0.04448742746615087,1.2315497774112807,1.1839406005712025,-0.04760917684007815
4842960,Tomball ISD,TX,0.7598918460239513,0.6387972329446969,-0.1210946130792544,0.13836818130414963,1283.6666666666667,0.06999255398361877,1.7339488872543471,1.5273102979872704,-0.2066385892670768
4823250,Highland Park ISD,TX,1.0978199339205885,0.9813952515561295,-0.11642468236445902,0.17920813588361317,563.0,0.0586145648312611,2.2762178926108763,1.8931191789919306,-0.38309871361894565
4820010,Frisco ISD,TX,0.8131860888003807,0.6968183797469101,-0.1163677090534706,0.09314148631184693,4659.0,0.27223691168693814,1.57798054259714,1.3719818487686772,-0.2059986938284628
2612480,East Grand Rapids Public Schools,MI,0.7420231879466436,0.6280669151986926,-0.11395627274795095,-0.03279504507047448,221.66666666666666,0.0,,,
2503150,Brookline,MA,1.1338542115179489,1.020764940645242,-0.11308927087270693,0.057635006875657036,552.8333333333334,0.0,,1.637171262313498,
4224390,Upper Dublin SD,PA,0.8301000302516646,0.721460895108428,-0.10863913514323653,0.08999446976693426,290.6666666666667,0.10221465076660988,1.3654851441293667,1.1692099000414427,-0.19627524408792407
3409390,Manalapan-Englishtown Regional School District,NJ,0.8113761735047846,0.7059295165154453,-0.1054466569893393,0.03697208889641579,591.4,0.10324483775811209,1.5163618853369594,1.3295302911011437,-0.18683159423581563
1802830,Zionsville Community Schools,IN,0.7518601503752954,0.6476114005147182,-0.1042487498605772,0.12205792327954101,547.6,0.055,1.1360553076051396,1.3546770142933762,0.21862170668823655
4813020,Carroll ISD,TX,1.173166050806918,1.0713523132383518,-0.10181373756856615,0.09878644461496378,478.6666666666667,0.20915032679738563,2.023051051439161,1.8346099929870934,-0.1884410584520677
901620,Glastonbury School District,CT,0.926012683357509,0.824568906618607,-0.10144377673890193,0.03927875995429009,470.6666666666667,0.11587982832618025,1.6499062248333065,1.4262570449928547,-0.22364917984045185
4828380,Lovejoy ISD,TX,1.1377297966703557,1.0375199680872011,-0.10020982858315453,-0.28301968413040235,348.0,0.07040229885057471,1.7829529877200334,1.5721774887003384,-0.21077549901969506
4218510,Parkland SD,PA,0.7330862017465823,0.6329485010775742,-0.10013770066900818,0.09251851341857331,744.6666666666666,0.11796246648793565,1.54373229222611,1.3204968780823265,-0.22323541414378356
2722920,Westonka Public School District,MN,1.0266754830784754,0.9277351272428571,-0.09894035583561833,0.10800001742928833,199.5,0.0,,,
3904985,Jackson Local,OH,0.6975680726173437,0.6002466656393172,-0.09732140697802649,0.2448078318268293,452.3333333333333,0.0,,,
635130,San Ramon Valley Unified,CA,0.8387799754423783,0.7422275482428098,-0.09655242719956847,0.09719670003322989,2610.1666666666665,0.4331198011282149,1.3579397601227148,1.2239177950043365,-0.13402196511837827
2711250,Edina Public School District,MN,0.8094522321378265,0.7156865040274276,-0.09376572811039885,0.12551408745367876,661.1666666666666,0.10434120335110435,1.4553711464871057,1.274008092896901,-0.18136305359020466
5513950,Slinger School District,WI,0.7429198081645745,0.6506989101117396,-0.09222089805283484,0.28227085228570314,232.16666666666666,0.0,,,
2509990,Reading,MA,0.7044146086158954,0.6144814113290346,-0.08993319728686089,0.23029644294094392,337.0,0.0379746835443038,1.1429878473821624,1.745014104532716,0.6020262571505537
3904676,Olentangy Local,OH,0.904644835257186,0.8169723869920199,-0.08767244826516607,0.0004797959468664237,1620.6666666666667,0.13436532507739937,1.419850403551738,1.297701974361635,-0.12214842919010316
3307170,Windham School District,NH,0.7855974039592711,0.6986231287252141,-0.08697427523405699,-0.15442319231135515,256.0,0.020527859237536656,,,
